"logFC","AveExpr","t","P.Value","adj.P.Val","B"
"NDNF",-1.34248819770974,5.98792541514938,-3.97446311332854,0.000721696989960727,0.038417202771189,-0.377157933723154
"RPE65",-1.24916527944265,3.62095591297081,-3.95613365243771,0.000753596213799152,0.0392136790897258,-0.416973986513618
"FADS1 /// MIR1908",-1.21129020562229,7.21221106649317,-3.95487561923923,0.000755836404027204,0.0392434265402204,-0.419706300568137
"PTCHD1",-1.03937152520807,3.80466577726437,-3.93420143999419,0.000793615441247215,0.0399057340304084,-0.464599815686646
"ANO5",-1.48461969978162,7.24556940420158,-3.93109077113245,0.000799460158677628,0.0399057340304084,-0.471353109423347
"TSLP",-1.38098067003168,4.52822441462945,-3.92870485372777,0.000803972135079912,0.0399057340304084,-0.476532693294499
"SCRN1",-1.06204977995162,8.31735532911551,-3.92580993155259,0.000809480724439211,0.0399057340304084,-0.482816959850981
"HIF3A",-1.04258989283438,5.07783549063404,-3.91169331638274,0.000836885260691946,0.0405120060787712,-0.513456084578697
"MIR143HG",-1.63523817784167,7.94141167138378,-3.90646513306441,0.000847267267995823,0.0405860002917755,-0.52480129079644
"VIT",-1.19438275951313,4.74907875278004,-3.90462173805193,0.000850958305335279,0.040614602531527,-0.528801183860444
"LIX1",-1.97045283062088,5.59187657716153,-3.90267778805151,0.000854868010596328,0.040614602531527,-0.533019099986483
"RRAS",-1.13905676168201,8.30923325259457,-3.90193329489125,0.000856370074611099,0.040614602531527,-0.534634430279094
"FAT4",-1.05919786715834,6.16605745907228,-3.898155417591,0.000864032739437394,0.040614602531527,-0.542830917145178
"ACSF2",-1.24600449964192,7.24754267737321,-3.89366988334939,0.000873219325889479,0.0406496184772862,-0.552561879280548
"AHNAK2",-1.20018129751929,6.76796712080058,-3.89303866951255,0.000874519853295359,0.0406496184772862,-0.553931165219968
"PHYHIP",-1.35436243251155,5.80766841160243,-3.88429013075848,0.000892744559650299,0.0408897012241918,-0.572907331838487
"RAB40A",-1.12039236203475,5.51215756568537,-3.88263538383685,0.000896233905070438,0.0408897012241918,-0.576496173893654
"PPP1R14C",-1.29129727041923,5.06212838930793,-3.87285515464998,0.000917135955807858,0.0408897012241918,-0.597704935091092
"CYTL1",-1.01010494509409,5.45563171757335,-3.86426766694766,0.000935887933413126,0.0408897012241918,-0.616323214645261
"TCEAL2",-1.57992864784637,7.71631394677965,-3.86189936316076,0.00094112614501498,0.0408897012241918,-0.621457194253038
"AP1G2 /// JPH4",-1.27247299632174,7.5755662694158,-3.86140964474785,0.000942212932733165,0.0408897012241918,-0.622518763152017
"PER2",-1.04797007685357,7.98973436869,-3.86025989654647,0.000944769367376823,0.0408897012241918,-0.625011037587588
"GSTM3",-1.15062327608761,8.15959815249915,-3.85982049164189,0.000945748191579947,0.0408897012241918,-0.625963503936
"UBXN10-AS1",-1.62581267247297,7.06611363857373,-3.82959936625141,0.00101554290079285,0.0425767718835075,-0.691446413626508
"IP6K3",-1.84145158450122,7.23084624566443,-3.81335997257929,0.00105513539853719,0.0435824367848183,-0.726612228905668
"HOXD10",-1.82786004278593,7.45391912268999,-3.80914086141539,0.00106567010246106,0.0438959033448059,-0.735745963653637
"PCDH9",-1.23188508105872,5.32808103448977,-3.79436190047448,0.00110340137761651,0.0442312989430666,-0.767731430897808
"TAGLN",-1.24272244801875,9.95941185973196,-3.79325889788883,0.00110626995172062,0.0442312989430666,-0.770118056171254
"MINOS1-NBL1 /// NBL1",-1.15759590102419,10.4801490043251,-3.79293077865622,0.00110712471652937,0.0442312989430666,-0.770828010061178
"PDZRN4",-1.1327519779312,7.05485619098692,-3.78794316373164,0.00112019860791877,0.0443756071955937,-0.781618888796841
"LINC00515",-1.18355960953027,5.20206302186948,-3.78346219138034,0.00113207494985254,0.0444177401884195,-0.791312242036683
"KCTD14 /// NDUFC2-KCTD14",-1.50559917934417,6.19077929452946,-3.78000718122071,0.00114131725559012,0.0445172604027283,-0.798785301115799
"CCDC69",-1.28702444192101,7.57909577073789,-3.77622190547733,0.00115152892951732,0.0445430298609996,-0.806971796535866
"CHRDL1",-1.41329188046058,9.36472929945637,-3.77276946543367,0.00116092165411534,0.0445430298609996,-0.814437618111313
"TRIM6",-1.06959942035392,6.27670075856952,-3.76297670131363,0.00118797908468496,0.0452124078831556,-0.835609800778708
"AF070581",-1.1680514743585,4.99549573310671,-3.76138175448469,0.00119244472577223,0.0453090467692454,-0.839057482484007
"AOC3",-1.0481665237573,7.50585573508274,-3.74621156125286,0.00123575944886682,0.0461132020814018,-0.871840766773366
"TIMP4",-1.20143068773388,4.12282493040775,-3.74361087582402,0.00124334000222866,0.0462711342601552,-0.877459264993564
"DMKN",-1.53224976318849,6.40244698555654,-3.74023695491799,0.00125324307664931,0.0465659986773963,-0.884747513834565
"FRMD6",-1.13190757634019,8.45455365335694,-3.73872380442141,0.00125770978571109,0.046584778204606,-0.888015905506539
"SELM",-1.04483671956186,6.84465092836446,-3.71767567577873,0.00132150175502466,0.047553418142021,-0.93346174291696
"CYB5R2",-1.08960855718924,7.22556072816538,-3.70166333282117,0.00137216689315554,0.0485174028734287,-0.968011499601642
"SNAI2",-1.42304087071395,7.10476045394747,-3.69475494790025,0.00139461498452243,0.0486666831394176,-0.98291130358882
"SDC2",-1.05500317594481,8.11101351532563,-3.67518029736183,0.0014602123622859,0.0493730555841276,-1.02510774513327
"ZNF711",-1.04943705223138,5.18833620313035,-3.67456225983387,0.00146233242755049,0.0493730555841276,-1.02643949807461
"SLC24A3",-1.10708739184437,8.02577623472101,-3.66752234743767,0.00148669734340972,0.0496174208760796,-1.04160682735338
"GPX3",-1.53899593130368,6.9750219504751,-3.66636405734375,0.00149074440974664,0.0496174208760796,-1.0441019221246
